"Source:","/home/nikolasf/Dokumente/01_git/LEA_control_board/hardware/01_Control_boards/LCB-CCB-01/Control_Board.kicad_sch"
"Date:","Di 21 Mär 2023 13:13:54 CET"
"Tool:","Eeschema (6.0.11)"
"Generator:","/home/nikolasf/Dokumente/01_git/LEA_control_board/hardware/KiCad_Library/bom_csv.py"
"Component Count:","230"
"Ref","Qnty","Mouser","Value","Cmp name","Footprint"
"R206, R209, R212, R215, R216, R218, R219, R704, R925, ","9","71-CRCW04020000Z0EDC","0R","R_0402__0R0_THICK__1P__50V","LEA_FootprintLibrary:R_0402","0.094","8405105 Auf Lager"
"R210, R807, R808, R815, R816, ","5","71-CRCW040210K0FKEDC","10K","R_0402__10k_THICK__1P__50V_2","LEA_FootprintLibrary:R_0402","0.094","10491605 Auf Lager"
"R217, ","1","71-CRCW040212K0FKEDC","12K","R_0402__12k_THICK__1P__50V","LEA_FootprintLibrary:R_0402","0.094","85679 Auf Lager"
"R707, R708, R709, R710, ","4","71-CRCW040233R0FKEDC","33R","R_0402__33R_THICK__1P__50V_1","LEA_FootprintLibrary:R_0402","0.103","590173 Auf Lager"
"R711, ","1","71-CRCW040256R0FKEDC","56R","R_0402__56R_THICK__1P__50V","LEA_FootprintLibrary:R_0402","0.094","70288 Auf Lager"
"R801, R802, R803, R804, R809, R810, R811, R812, R901, R902, R903, R904, R905, R906, R907, R908, R909, R910, R911, R912, R913, R914, R915, R916, R917, R918, R919, R920, R921, R922, R923, R924, ","32","71-CRCW04021K00FKEDC","1K","R_0402__1k0_THICK__1P__50V_23","LEA_FootprintLibrary:R_0402","0.103","2749746 Auf Lager"
"R805, R806, R813, R814, ","4","71-CRCW040233K0FKEDC","33K","R_0402__33k_THICK__1P__50V_2","LEA_FootprintLibrary:R_0402","0.094","196362 Auf Lager"
"R926, ","1","","0.1R","R_0402","LEA_FootprintLibrary:R_0402","0","0"
"S301, ","1","229-CAS-120TA","CAS-120TA","CAS-120TA","LEA_FootprintLibrary:CAS-120TA","1.10","12056 Auf Lager"
"S701, ","1","229-CAS-D20TA","CAS-D20TA","CAS-D20TA","LEA_FootprintLibrary:CAS-D20TA","2.23","19684 Auf Lager"
"U201, ","1","895-FT2232HL-TRAY","FT2232HL","FT2232HL","LEA_FootprintLibrary:LQFP-64_12x12_Pitch0.5mm_FTDI","5.80","32773 Auf Bestellung"
"U202, ","1","579-93LC56BT-I/OT","93LC56BT-I_OT","93LC56BT-I_OT","LEA_FootprintLibrary:SOT-23-6_Microchip","0.301","6300 Auf Bestellung"
"U203, ","1","998-MIC5259-3.3YD5TR","MIC5259-3.3YD5-TR","MIC5259-3.3YD5-TR","LEA_FootprintLibrary:SOT-23-5_Microchip","0.696","300 Auf Bestellung"
"U301, U302, ","2","595-ISO7741FQDWWQ1","ISO7741FQDWWQ1","ISO7741FQDWWQ1","LEA_FootprintLibrary:SOIC-16_TI_DWW0016A_Optimized","5.82","8300 Auf Lager"
"U601, ","1","998-MIC5504-1.2YM5T5","MIC5504-1.2YM5-T5","MIC5504-1.2YM5-T5","LEA_FootprintLibrary:SOT-23-5_Microchip","Nicht vorhanden","unknown"
"U701, ","1","595-TPS3702CX33DDCT","TPS3702CX33DDCT","TPS3702CX33DDCT","LEA_FootprintLibrary:TSOT-23-6_TI","3.33","1106 Auf Lager"
"U702, ","1","595-TPS3702CX12DDCT","TPS3702CX12DDCT","TPS3702CX12DDCT","LEA_FootprintLibrary:TSOT-23-6_TI","3.26","1424 Auf Lager"
"U703, ","1","595-F28386DZWTS","TMS320F2838xDZWT","TMS320F2838xDZWT_1","LEA_FootprintLibrary:BGA-361_19x19_16.0x16.0mm","Nicht vorhanden","unknown"
"U704, ","1","621-PI6C49CB04AQ3WEX","PI6C49CB04AQ3WEX","PI6C49CB04AQ3WEX","LEA_FootprintLibrary:SOIC-8","Nicht vorhanden","unknown"
"U801, U802, ","2","771-74HC74BQ-G","74HC74BQ,115","74HC74BQ,115","LEA_FootprintLibrary:DHVQFN14_SOT762-1_Nexpria","Nicht vorhanden","unknown"
"U803, ","1","700-MAX978ESE","MAX978ESE+","MAX978ESE+","LEA_FootprintLibrary:SOIC-16","Nicht vorhanden","unknown"
"U901, ","1","700-MAX6037AAUK30T","MAX6037AAUK30+T","MAX6037AAUK30+T","LEA_FootprintLibrary:SOT-23-5_Microchip","Nicht vorhanden","unknown"
"U902, ","1","595-OPA607QDBVRQ1","OPA607QDBVRQ1","OPA607QDBVRQ1","LEA_FootprintLibrary:SOT-23-5_TI","Nicht vorhanden","unknown"
"Y201, ","1","520-2033-120-AU","ECS-2033-120-AU","ECS-2033-120-AU","LEA_FootprintLibrary:Osc_ECS_2.5x2","Nicht vorhanden","unknown"
"Y701, ","1","520-2520S33-250-FNT","ECS-2520S33-250-FN-TR","ECS-2520S33-250-FN-TR","LEA_FootprintLibrary:Osc_ECS_2.5x2","Nicht vorhanden","unknown"
"Gesamtpreis: ","118.22600000000001"
